'sigla','nome curso','local','modalidade'
'EST-PCI ',' ESTÁGIO PRINCÍPIOS DE CONTROLE INTERNO NAS OM','CIANB','PRS'
'EST-QFN ',' ESTÁGIO SOBRE QUITAÇ?O COM A FAZENDA NACIONAL','CIANB','PRS'
'EST-REL EXECFIN/MATERIAL ',' ESTÁGIO PARA RELATORES DE EXECUÇ?O FINANCEIRA E MATERIAL','CIANB','PRS'
'EST-REL PAGTO ',' ESTÁGIO PARA RELATORES DE PAGAMENTO DE PESSOAL MILITAR','CIANB','PRS'
'EST-RELMun ',' ESTÁGIO PARA RELATORES DE MUNICIAMENTO','CIANB','PRS'
'EST-GestBC','ESTÁGIO DE GEST?O DE BENS CULTURAIS','CIANB','PRS'
'EST-CANVAS','ESTÁGIO DE MODELAGEM DE NEGÓCIOS POR MEIO DA FERRAMENTA CANVAS','CIANB','PRS'
' ADE-LA','ADESTRAMENTO DE LEI DE ACESSO À INFORMAÇ?0','CIANB','PRS'
'C-Exp-DIC-2D','Curso Expedito de Desenho Industrial utilizando AUTOCAD 2D para Praças.','DIM','PRS'
'C-Exp-DIC-3D','Curso Expedito de Desenho Industrial utilizando AUTOCAD 3D para Praças.','DIM','PRS'
'C-Exp-CLP','Curso Expedito de Controladores Lógicos Programáveis para Praças','DIM','PRS'
'C-Exp-EMI','Curso Expedito de Eletricista de Manutenç?o Industrial para Praças','DIM','PRS'
'C-Exp-INV','Curso Expedito de Inversores de Frequência para Praças','DIM','PRS'
'C-Exp-MPE','Curso Expedito de Montador de Painéis Elétricos para Praças','DIM','PRS'
'C-Exp-CPP','Curso Expedito de Corros?o, Pintura Industrial e Proteç?o Catódica para Praças','DIM','PRS'
'C-Exp-SER','Curso Expedito de Soldagem com Eletrodo Revestido para Praças','DIM','PRS'
'C-Exp-AMR','Curso Expedito de Alinhamento de Máquinas Rotativas para Praças','DIM','PRS'
'C-Exp-HID','Curso Expedito de Hidráulica Industrial para Praças','DIM','PRS'
'C-Exp-LUB','Curso Expedito de Lubrificaç?o para Praças','DIM','PRS'
'C-Exp-REF','Curso Expedito de Mecânica de Refrigeraç?o Básica para Praças','DIM','PRS'
'C-Exp-PNE','Curso Expedito de Pneumática Industrial para Praças','DIM','PRS'
'C-Exp-SPL','Curso Expedito de Instalaç?o e Manutenç?o de Aparelhos de Refrigeraç?o tipo "SPLIT" para Praças','DIM','PRS'
'EQ-SGDE-SP ',' Estágio de Qualificaç?o em Sistemas de Geraç?o e Distribuiç?o de Energia;','DIM','SEMI'
'EQ-SER-SP ',' Estágio de Qualificaç?o em Servomecanismos;','DIM','SEMI'
'EQ-CFTV-SP ',' Estágio de Qualificaç?o em Circuito Fechado de TV;','DIM','SEMI'
'EQ-IEO-SP ',' Estágio de Qualificaç?o em Instrumentaç?o Eletrônica;','DIM','SEMI'
'EQ-ENM-SP ',' Estágio de Qualificaç?o em Ensaio de Materiais;','DIM','SEMI'
'EQ-IE-SP ',' Estágio de Qualificaç?o em Inspeç?o Estrutural - para Oficias e praças;','DIM','SEMI'
'EQ-VHI-SP ',' Estágio de Qualificaç?o em Válvulas hidráulicas;','DIM','SEMI'
'EQ-SCV-SP ',' Estágio de Qualificaç?o de Comando de Válvulas;','DIM','SEMI'
'EQ-TRC-SP ',' Estágio de Qualificaç?o de Trocadores de Calor;','DIM','SEMI'
'EQ-M3D-SP ',' Estágio de Qualificaç?o em Modelagem para Impress?o em 3D - para Oficiais e praças; ','DIM','SEMI'
'EQ-ADN-SP ',' Estágio de Qualificaç?o em Atividades de Docagem de Navios','DIM','SEMI'
'CASO ','Curso de Aperfeiçoamento de Submarinos para Oficiais - Roteiro Avaliaç?o pós-escola','CIAMA','PRS'
'EQ-PSOPS ','Estágio de Qualificaç?o de Preparaç?o para o Serviço de Oficial de Periscópio e Oficial de Som','CIAMA','PRS'
'C-Esp-SubEN ','Curso Especial de Submarinos para Engenheiros da Marinha','CIAMA','PRS'
'C-EXP-ATSON-SUB ','Curso Expedito de atualizaç?o de Sonar para Praças "OS" Submarinistas','CIAMA','PRS'
'C-EXP-FOTO ','Curso Expedito de Fotografia de Periscópio','CIAMA','PRS'
'C-Subespc-SB ','Curso de Subespecializaç?o de Submarinos para Praças','CIAMA','PRS'
'EQ-CLASON ','Estágio de Qualificaç?o de Classificaç?o Sonar','CAIMA','PRS'
'EQ-FCOS ','Estágio de Qualificaç?o para Futuros Comandantes de Submarinos','CIAMA','PRS'
'EQ-MAN-CAP ','Estágio de Qualificaç?o em Manutenç?o do Controle Automático da Propuls?o dos Submarinos da classe "tupi"','CIAMA','PRS'
'EQ-MAN-PCM-PMB ','Estágio de Qualificaç?o para Manutenç?o do Painel de Monitoragem das Baterias e do painel de Controle dos mcp dos submarinos da classe "tupi"','CIANA','PRS'
'EQ-MANTIKUNA ','Estágio de Qualificaç?o em Manutenç?o dos Submarinos classe "Tikuna";','CIAMA','PRS'
'EQ-MANTUPI ','Estágio de Qualificaç?o em Manutenç?o dos Submarinos classe "Tupi"','CIAMA','PRS'
'EQ-MESASUB ','Estágio de Qualificaç?o da Mesa de Navegaç?o de Submarinos','CIAMA','PRS'
'EQ-SCI-AN/BYG 501 MOD 1D ','Estagio de Qualificaç?o do Sistema de Combate Integrado AN/BYG 501 mod 1D','CIAMA','PRS'
